year,state,has_carbon_price,price
2005,AK,False,
2005,AL,False,
2005,AR,False,
2005,AZ,False,
2005,CA,False,
2005,CO,False,
2005,CT,False,
2005,DC,False,
2005,DE,False,
2005,FL,False,
2005,GA,False,
2005,HI,False,
2005,IA,False,
2005,ID,False,
2005,IL,False,
2005,IN,False,
2005,KS,False,
2005,KY,False,
2005,LA,False,
2005,MA,False,
2005,MD,False,
2005,ME,False,
2005,MI,False,
2005,MN,False,
2005,MO,False,
2005,MS,False,
2005,MT,False,
2005,NC,False,
2005,ND,False,
2005,NE,False,
2005,NH,False,
2005,NJ,False,
2005,NM,False,
2005,NV,False,
2005,NY,False,
2005,OH,False,
2005,OK,False,
2005,OR,False,
2005,PA,False,
2005,RI,False,
2005,SC,False,
2005,SD,False,
2005,TN,False,
2005,TX,False,
2005,UT,False,
2005,VA,False,
2005,VT,False,
2005,WA,False,
2005,WI,False,
2005,WV,False,
2005,WY,False,
2006,AK,False,
2006,AL,False,
2006,AR,False,
2006,AZ,False,
2006,CA,False,
2006,CO,False,
2006,CT,False,
2006,DC,False,
2006,DE,False,
2006,FL,False,
2006,GA,False,
2006,HI,False,
2006,IA,False,
2006,ID,False,
2006,IL,False,
2006,IN,False,
2006,KS,False,
2006,KY,False,
2006,LA,False,
2006,MA,False,
2006,MD,False,
2006,ME,False,
2006,MI,False,
2006,MN,False,
2006,MO,False,
2006,MS,False,
2006,MT,False,
2006,NC,False,
2006,ND,False,
2006,NE,False,
2006,NH,False,
2006,NJ,False,
2006,NM,False,
2006,NV,False,
2006,NY,False,
2006,OH,False,
2006,OK,False,
2006,OR,False,
2006,PA,False,
2006,RI,False,
2006,SC,False,
2006,SD,False,
2006,TN,False,
2006,TX,False,
2006,UT,False,
2006,VA,False,
2006,VT,False,
2006,WA,False,
2006,WI,False,
2006,WV,False,
2006,WY,False,
2007,AK,False,
2007,AL,False,
2007,AR,False,
2007,AZ,False,
2007,CA,False,
2007,CO,False,
2007,CT,False,
2007,DC,False,
2007,DE,False,
2007,FL,False,
2007,GA,False,
2007,HI,False,
2007,IA,False,
2007,ID,False,
2007,IL,False,
2007,IN,False,
2007,KS,False,
2007,KY,False,
2007,LA,False,
2007,MA,False,
2007,MD,False,
2007,ME,False,
2007,MI,False,
2007,MN,False,
2007,MO,False,
2007,MS,False,
2007,MT,False,
2007,NC,False,
2007,ND,False,
2007,NE,False,
2007,NH,False,
2007,NJ,False,
2007,NM,False,
2007,NV,False,
2007,NY,False,
2007,OH,False,
2007,OK,False,
2007,OR,False,
2007,PA,False,
2007,RI,False,
2007,SC,False,
2007,SD,False,
2007,TN,False,
2007,TX,False,
2007,UT,False,
2007,VA,False,
2007,VT,False,
2007,WA,False,
2007,WI,False,
2007,WV,False,
2007,WY,False,
2008,AK,False,
2008,AL,False,
2008,AR,False,
2008,AZ,False,
2008,CA,False,
2008,CO,False,
2008,CT,False,
2008,DC,False,
2008,DE,False,
2008,FL,False,
2008,GA,False,
2008,HI,False,
2008,IA,False,
2008,ID,False,
2008,IL,False,
2008,IN,False,
2008,KS,False,
2008,KY,False,
2008,LA,False,
2008,MA,False,
2008,MD,False,
2008,ME,False,
2008,MI,False,
2008,MN,False,
2008,MO,False,
2008,MS,False,
2008,MT,False,
2008,NC,False,
2008,ND,False,
2008,NE,False,
2008,NH,False,
2008,NJ,False,
2008,NM,False,
2008,NV,False,
2008,NY,False,
2008,OH,False,
2008,OK,False,
2008,OR,False,
2008,PA,False,
2008,RI,False,
2008,SC,False,
2008,SD,False,
2008,TN,False,
2008,TX,False,
2008,UT,False,
2008,VA,False,
2008,VT,False,
2008,WA,False,
2008,WI,False,
2008,WV,False,
2008,WY,False,
2009,AK,False,
2009,AL,False,
2009,AR,False,
2009,AZ,False,
2009,CA,False,
2009,CO,False,
2009,CT,True,2.745
2009,DC,False,
2009,DE,True,2.745
2009,FL,False,
2009,GA,False,
2009,HI,False,
2009,IA,False,
2009,ID,False,
2009,IL,False,
2009,IN,False,
2009,KS,False,
2009,KY,False,
2009,LA,False,
2009,MA,True,2.745
2009,MD,True,2.745
2009,ME,True,2.745
2009,MI,False,
2009,MN,False,
2009,MO,False,
2009,MS,False,
2009,MT,False,
2009,NC,False,
2009,ND,False,
2009,NE,False,
2009,NH,True,2.745
2009,NJ,True,2.745
2009,NM,False,
2009,NV,False,
2009,NY,True,2.745
2009,OH,False,
2009,OK,False,
2009,OR,False,
2009,PA,False,
2009,RI,True,2.745
2009,SC,False,
2009,SD,False,
2009,TN,False,
2009,TX,False,
2009,UT,False,
2009,VA,False,
2009,VT,True,2.745
2009,WA,False,
2009,WI,False,
2009,WV,False,
2009,WY,False,
2010,AK,False,
2010,AL,False,
2010,AR,False,
2010,AZ,False,
2010,CA,False,
2010,CO,False,
2010,CT,True,1.9175
2010,DC,False,
